A,K,Q,J,T,9,8,7,6,5,4,3,2
0.3939,0.2558,0.2382,0.2259,0.2154,0.1927,0.1842,0.1777,0.1727,0.1683,0.1645,0.1618,0.159
0.2229,0.3353,0.2271,0.2144,0.2052,0.1826,0.1666,0.1615,0.156,0.1514,0.1487,0.1459,0.144
0.2039,0.1929,0.2887,0.2088,0.2001,0.177,0.1617,0.1484,0.1433,0.14,0.137,0.1342,0.1319
0.1891,0.1789,0.1746,0.251,0.1986,0.1772,0.1614,0.1469,0.134,0.1308,0.1277,0.125,0.1236
0.1765,0.1683,0.1647,0.1641,0.222,0.1781,0.1625,0.1483,0.1357,0.125,0.1211,0.1189,0.1165
0.1519,0.1428,0.1392,0.1393,0.1425,0.1983,0.1607,0.1496,0.1361,0.1241,0.1133,0.1112,0.1088
0.1432,0.1261,0.1222,0.1229,0.1255,0.1245,0.18,0.1513,0.1401,0.1284,0.1172,0.1061,0.1048
0.1362,0.1189,0.107,0.1074,0.1106,0.1119,0.1148,0.1664,0.1443,0.1347,0.1227,0.111,0.1007
0.1293,0.1132,0.1015,0.0927,0.0962,0.098,0.1033,0.1074,0.1551,0.1391,0.1291,0.1181,0.1068
0.1246,0.1088,0.0979,0.0894,0.0834,0.0853,0.0903,0.0962,0.103,0.1475,0.1241,0.1145,0.104
0.1205,0.1056,0.0941,0.0861,0.0803,0.0733,0.0775,0.0841,0.092,0.0862,0.1423,0.1096,0.1009
0.1175,0.1024,0.0913,0.0835,0.0772,0.0705,0.0663,0.0717,0.0796,0.0763,0.0715,0.1376,0.0967
0.1144,0.0998,0.0891,0.0813,0.0752,0.0686,0.0646,0.0612,0.0681,0.0648,0.0617,0.0575,0.1358
