A,K,Q,J,T,9,8,7,6,5,4,3,2
0.513,0.3821,0.3627,0.3416,0.3307,0.3167,0.3103,0.3039,0.2974,0.2913,0.2852,0.2808,0.2757
0.3684,0.4809,0.3194,0.3095,0.307,0.2941,0.2863,0.2835,0.2803,0.2764,0.2713,0.2657,0.2615
0.3471,0.3026,0.4513,0.3058,0.3035,0.2918,0.2833,0.2747,0.2726,0.2676,0.2627,0.2572,0.2532
0.3246,0.2896,0.2865,0.4257,0.3049,0.2928,0.2852,0.275,0.2665,0.2633,0.2587,0.2532,0.2488
0.3126,0.2882,0.2837,0.2848,0.4069,0.2981,0.2887,0.2793,0.2696,0.2592,0.2557,0.2499,0.2467
0.2978,0.2747,0.2728,0.2733,0.2781,0.3864,0.2894,0.2799,0.2722,0.2611,0.2497,0.247,0.242
0.2914,0.2653,0.2622,0.2648,0.2675,0.2694,0.3702,0.2822,0.2732,0.2629,0.2512,0.2417,0.238
0.2838,0.263,0.2536,0.2552,0.2582,0.2599,0.2624,0.3543,0.2746,0.264,0.2534,0.242,0.2317
0.2769,0.2595,0.2509,0.2455,0.2485,0.2511,0.2531,0.2539,0.3388,0.2679,0.2568,0.2455,0.2345
0.2706,0.254,0.2461,0.2412,0.2374,0.2396,0.2424,0.243,0.2471,0.3213,0.2508,0.2397,0.2295
0.2639,0.2493,0.2411,0.2366,0.2335,0.2273,0.2298,0.2323,0.2358,0.2289,0.3037,0.2336,0.2238
0.2583,0.2437,0.2348,0.2308,0.2287,0.2246,0.2186,0.2199,0.2235,0.2178,0.2116,0.2877,0.2193
0.2531,0.2384,0.2302,0.2261,0.2231,0.2193,0.2153,0.208,0.2124,0.2068,0.2008,0.1953,0.2731
